epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.839,1.61569,1.88734,1.6542,0.44316,0.20475,0.21817,0.12045,1.87042,2.0467,1.67859,0.000665468,0.000665468,0.000665468
2,633.291,1.61197,1.6673,1.66976,0.43139,0.29318,0.28997,0.14225,1.83572,2.04021,1.66279,0.00130576,0.00130576,0.00130576
3,946.172,1.60115,1.61531,1.65126,0.39829,0.24173,0.25258,0.12805,1.8846,1.91549,1.71135,0.00191965,0.00191965,0.00191965
4,1258.76,1.55899,1.54709,1.63826,0.46629,0.31113,0.32702,0.16143,1.76985,1.81992,1.64288,0.0018812,0.0018812,0.0018812
5,1572,1.52377,1.48165,1.605,0.49249,0.33838,0.35848,0.1841,1.74227,1.78223,1.58834,0.0018416,0.0018416,0.0018416
6,1885.78,1.50422,1.43614,1.57612,0.48906,0.32726,0.33976,0.17283,1.71741,1.79802,1.58628,0.001802,0.001802,0.001802
7,2198.41,1.46523,1.39974,1.55937,0.50719,0.36145,0.37519,0.19171,1.70122,1.68338,1.55197,0.0017624,0.0017624,0.0017624
8,2510.23,1.4415,1.35193,1.54763,0.48055,0.3252,0.34555,0.18675,1.66116,1.62311,1.56917,0.0017228,0.0017228,0.0017228
9,2821.57,1.41556,1.33399,1.53697,0.49493,0.36659,0.38399,0.20057,1.67458,1.59434,1.56209,0.0016832,0.0016832,0.0016832
10,3132.72,1.39233,1.28316,1.52423,0.54498,0.3785,0.40532,0.2153,1.64869,1.55899,1.53059,0.0016436,0.0016436,0.0016436
11,3445.26,1.4037,1.29566,1.51487,0.52665,0.37281,0.39614,0.21465,1.61568,1.54452,1.51523,0.001604,0.001604,0.001604
12,3756.21,1.39261,1.26677,1.50542,0.55586,0.36684,0.39827,0.21514,1.61732,1.53396,1.53823,0.0015644,0.0015644,0.0015644
13,4067.42,1.38095,1.24335,1.49915,0.54822,0.3785,0.41512,0.22815,1.58321,1.46642,1.4939,0.0015248,0.0015248,0.0015248
14,4377.83,1.35449,1.21589,1.48373,0.5629,0.3856,0.42463,0.23219,1.58111,1.43653,1.49747,0.0014852,0.0014852,0.0014852
15,4689.68,1.34535,1.20777,1.47475,0.54504,0.37492,0.41155,0.22526,1.57985,1.61655,1.46744,0.0014456,0.0014456,0.0014456
16,5000.42,1.34111,1.20241,1.47509,0.57687,0.39706,0.44048,0.24086,1.57633,1.44223,1.48147,0.001406,0.001406,0.001406
17,5310.87,1.31169,1.18371,1.45787,0.56855,0.39373,0.44057,0.23947,1.54524,1.40523,1.44978,0.0013664,0.0013664,0.0013664
18,5621.65,1.33169,1.17172,1.45208,0.57178,0.39804,0.43807,0.24115,1.55909,1.41254,1.47239,0.0013268,0.0013268,0.0013268
19,5932.23,1.30213,1.15268,1.44292,0.59891,0.40118,0.44944,0.25097,1.55359,1.3597,1.46,0.0012872,0.0012872,0.0012872
20,6242.96,1.30308,1.15195,1.44733,0.58449,0.40791,0.45432,0.25156,1.53195,1.373,1.44735,0.0012476,0.0012476,0.0012476
21,6553.79,1.29167,1.13948,1.43344,0.61534,0.40559,0.46328,0.25926,1.51437,1.38134,1.43317,0.001208,0.001208,0.001208
22,6865.15,1.29377,1.11586,1.42779,0.60212,0.4186,0.47089,0.26241,1.5066,1.32603,1.41875,0.0011684,0.0011684,0.0011684
23,7175.94,1.27167,1.11529,1.41886,0.58957,0.40505,0.45719,0.25276,1.53054,1.33852,1.43256,0.0011288,0.0011288,0.0011288
24,7486.84,1.26707,1.10175,1.41949,0.61555,0.41858,0.4755,0.26854,1.49803,1.36888,1.42192,0.0010892,0.0010892,0.0010892
25,7797.46,1.25904,1.09508,1.41287,0.60378,0.41014,0.46645,0.26387,1.47037,1.32065,1.4032,0.0010496,0.0010496,0.0010496
26,8107.84,1.2469,1.07676,1.401,0.62553,0.42185,0.48466,0.27512,1.47757,1.29414,1.41061,0.00101,0.00101,0.00101
27,8418.45,1.23457,1.06205,1.40002,0.62134,0.42191,0.48545,0.27523,1.47355,1.28974,1.4145,0.0009704,0.0009704,0.0009704
28,8729.04,1.24293,1.04997,1.39201,0.59125,0.40661,0.45652,0.25982,1.48255,1.30418,1.41539,0.0009308,0.0009308,0.0009308
29,9039.46,1.22813,1.03835,1.39313,0.61832,0.41669,0.4802,0.27193,1.48323,1.29813,1.40515,0.0008912,0.0008912,0.0008912
30,9349.76,1.21907,1.03196,1.3877,0.62173,0.42196,0.48709,0.27793,1.46548,1.28519,1.38776,0.0008516,0.0008516,0.0008516
31,9660.4,1.20622,1.03374,1.38148,0.62072,0.42684,0.48673,0.2762,1.46696,1.29829,1.3859,0.000812,0.000812,0.000812
32,9970.89,1.20132,1.01505,1.36536,0.63881,0.43639,0.5054,0.29202,1.43061,1.23925,1.37923,0.0007724,0.0007724,0.0007724
33,10281.2,1.20883,1.00706,1.36509,0.62456,0.44144,0.49979,0.28672,1.44582,1.26121,1.38484,0.0007328,0.0007328,0.0007328
34,10591.1,1.17098,0.98675,1.36017,0.62693,0.44159,0.50396,0.28806,1.45002,1.23605,1.38184,0.0006932,0.0006932,0.0006932
