epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7964,0.97226,2.54889,1.86897,1.44922,0.69267,0.86364,0.84194,0.50281,0.69267,0.86364,0.84194,0.51224,0.97496,1.72708,2.11105,1.87227,0.000657778,0.000657778,0.000657778
2,89.1809,1.02157,1.96839,1.52221,1.46117,0.97757,0.95455,0.99167,0.58364,0.99644,1,0.995,0.58685,1.18314,2.29249,1.7614,2.27194,0.00129822,0.00129822,0.00129822
3,133.851,1.09441,1.94266,1.45039,1.51949,0.8142,0.63636,0.8014,0.44644,0.72514,0.68182,0.82295,0.44938,1.56584,2.01728,2.42906,2.56031,0.00191226,0.00191226,0.00191226
4,178.33,1.06934,1.9185,1.38581,1.49758,0.94182,0.95455,0.98532,0.65881,0.94182,0.95455,0.98532,0.58999,1.05371,1.7884,1.90414,1.96625,0.0018812,0.0018812,0.0018812
5,222.821,1.02504,1.90414,1.30526,1.46398,1,0.94459,0.98885,0.5766,1,0.94459,0.98885,0.65004,1.09324,1.48338,1.30531,2.06457,0.0018416,0.0018416,0.0018416
6,267.231,0.9791,1.86244,1.17165,1.41546,0.93182,0.90909,0.97414,0.74175,0.93182,0.90909,0.97414,0.637,0.84439,1.73078,1.31834,1.60894,0.001802,0.001802,0.001802
7,311.708,0.95512,1.75043,1.08717,1.402,0.95103,1,0.99326,0.57269,0.95103,1,0.99326,0.57958,1.21252,1.58187,1.17338,2.04387,0.0017624,0.0017624,0.0017624
8,356.09,0.93239,1.68172,1.08928,1.36429,0.9502,1,0.99109,0.70543,0.9502,1,0.99109,0.66543,0.96217,1.95706,0.84537,1.73018,0.0017228,0.0017228,0.0017228
9,400.511,0.93867,1.76878,1.04788,1.38118,0.9477,0.95455,0.98657,0.65705,0.9477,0.95455,0.98657,0.7119,0.93072,1.33749,1.1926,1.72477,0.0016832,0.0016832,0.0016832
10,444.884,0.87754,1.61518,0.98023,1.33217,0.99626,1,0.995,0.66536,0.99626,1,0.995,0.73406,0.92025,1.22898,0.9127,1.82262,0.0016436,0.0016436,0.0016436
