epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6875,1.52538,3.2134,2.40234,1.62383,0.58051,0.25,0.29072,0.13792,0.58051,0.25,0.29229,0.15395,2.00992,3.25513,2.56062,2.33766,0.000660066,0.000660066,0.000660066
2,76.8432,1.45127,2.57699,2.05476,1.58102,0.19162,0.5,0.15753,0.06349,0.18277,0.5625,0.16865,0.04732,1.94328,3.59856,3.50002,2.40126,0.00130046,0.00130046,0.00130046
3,114.842,1.47993,2.55108,2.00851,1.60436,0.42126,0.4375,0.32619,0.12351,0.42126,0.4375,0.32833,0.12177,2.13542,5.35914,3.78999,2.79267,0.00191446,0.00191446,0.00191446
4,152.954,1.48338,2.65378,1.96599,1.59389,0.20838,0.39531,0.14682,0.06371,0.21542,0.5,0.1494,0.06802,1.84091,5.57681,2.86621,2.37903,0.0018812,0.0018812,0.0018812
5,191.038,1.46995,2.52302,1.93101,1.58234,0.39992,0.375,0.34981,0.15304,0.60395,0.25,0.23931,0.08298,2.31179,11.8418,2.96275,2.8761,0.0018416,0.0018416,0.0018416
6,228.98,1.38036,2.57776,1.83523,1.52088,0.34738,0.4375,0.3659,0.19443,0.3727,0.3125,0.345,0.16528,2.39045,3.98893,3.19813,3.03907,0.001802,0.001802,0.001802
7,267.229,1.42531,2.70975,1.71861,1.53307,0.38707,0.5625,0.41277,0.27061,0.38707,0.5625,0.41835,0.26085,1.83832,3.84848,2.93334,2.29817,0.0017624,0.0017624,0.0017624
8,305.399,1.41531,2.51893,1.81123,1.52685,0.56486,0.25,0.33121,0.13686,0.47029,0.1875,0.22577,0.11451,2.10101,4.61642,3.13991,2.48077,0.0017228,0.0017228,0.0017228
9,343.598,1.39728,2.43706,1.6816,1.5125,0.4861,0.5,0.31486,0.12494,0.43651,0.4375,0.28701,0.12196,2.10331,4.13748,2.7867,2.46555,0.0016832,0.0016832,0.0016832
10,381.87,1.35747,2.41417,1.6464,1.46609,0.88349,0.47569,0.59593,0.35727,0.88349,0.47569,0.59328,0.32619,1.99929,3.69934,2.51214,2.36789,0.0016436,0.0016436,0.0016436
11,419.99,1.29914,2.48981,1.59357,1.44582,0.27555,0.5,0.33974,0.16255,0.27668,0.50212,0.34266,0.15701,2.2134,3.18048,2.81301,2.61687,0.001604,0.001604,0.001604
12,458.167,1.32892,2.3133,1.554,1.46485,0.59081,0.5,0.40439,0.18945,0.59081,0.5,0.4035,0.14625,2.1741,3.42567,2.75279,2.604,0.0015644,0.0015644,0.0015644
13,496.545,1.28449,2.25547,1.41981,1.41023,0.72336,0.625,0.61658,0.33328,0.72336,0.625,0.61854,0.32241,1.91109,3.54561,2.12809,2.32288,0.0015248,0.0015248,0.0015248
14,534.778,1.31957,2.2965,1.52875,1.46594,0.48511,0.4375,0.33163,0.15428,0.48295,0.375,0.32345,0.14005,2.2496,3.79738,2.82246,2.82509,0.0014852,0.0014852,0.0014852
15,572.975,1.21734,2.37103,1.44529,1.39385,0.64237,0.375,0.44431,0.2196,0.64237,0.375,0.41461,0.21555,2.13293,3.78529,3.22538,2.61628,0.0014456,0.0014456,0.0014456
16,611.185,1.25237,2.20768,1.44189,1.39896,0.663,0.4375,0.49981,0.30285,0.663,0.4375,0.49324,0.29807,2.11637,3.49947,2.33193,2.66777,0.001406,0.001406,0.001406
17,649.399,1.19841,2.22112,1.37739,1.38163,0.64296,0.45111,0.44112,0.16659,0.44781,0.375,0.28458,0.14959,2.34837,3.75841,2.39593,2.91829,0.0013664,0.0013664,0.0013664
18,687.683,1.20686,2.20324,1.41384,1.36528,0.34606,0.5,0.3981,0.21819,0.34606,0.5,0.39577,0.18973,1.9152,4.06755,2.49268,2.25364,0.0013268,0.0013268,0.0013268
19,725.751,1.11616,2.04297,1.28073,1.34568,0.60221,0.625,0.58425,0.28863,0.60221,0.625,0.5606,0.23323,1.93672,3.51366,2.4883,2.24239,0.0012872,0.0012872,0.0012872
20,763.857,1.10146,2.02725,1.22505,1.3302,0.72568,0.49634,0.50717,0.26573,0.63475,0.43472,0.41744,0.21665,2.07275,3.55747,2.2211,2.37513,0.0012476,0.0012476,0.0012476
21,802.111,1.09602,2.09146,1.17275,1.2839,0.79416,0.48357,0.54559,0.31366,0.79416,0.48357,0.51939,0.30194,1.82807,3.61235,2.22014,2.26198,0.001208,0.001208,0.001208
